Abandon Hope|TMP=66
Fire Diamond|MIR=84
Fire Dragon|POR=2163
Fire Drake|5ED=75
Fire Drake|CHR=54
Fire Drake|DRK=96
Fire Elemental|2ED=212
Fire Elemental|3ED=92
Fire Elemental|4ED=96
Fire Elemental|6ED=52
Fire Elemental|7ED=44
Fire Elemental|LEA=2200
Fire Elemental|LEB=1148
Fire Elemental|M13=14
Fire Elemental|S99=70
Fire Imp|POR=78
Fire Juggler|MOR=13
Fire Servant|M11=34
Fire Snake|POR=57
Fire Sprites|LEG=68
Fire Tempest|POR=372
Fire Tempest|S99=258
Fire Whip|TSB=24
Fire Whip|WTH=48
Fire-Belly Changeling|LRW=13
Fire-Field Ogre|ALA=18
Fire-Lit Thicket|SHM=977
Fireball|2ED=284
Fireball|3ED=84
Fireball|4ED=72
Fireball|5ED=66
Fireball|DST=52
Fireball|LEA=2072
Fireball|LEB=1480
Fireball|M11=20
Fireball|M12=17
Fireball|PRO=1330
Fireblast|VIS=306
Firebolt|ODY=44
Firebrand Ranger|INV=44
Firebreathing|10E=16
Firebreathing|2ED=104
Firebreathing|3ED=64
Firebreathing|4ED=60
Firebreathing|5ED=51
Firebreathing|6ED=30
Firebreathing|9ED=16
Firebreathing|LEA=832
Firebreathing|LEB=368
Firebreathing|M12=12
Firebreathing|MIR=45
Firecat Blitz|JUD=42
Firefist Striker|GTC=26
Firefly|TMP=63
Firefright Mage|PLC=14
Firemane Angel|RAV=124
Firemane Avenger|GTC=315
Firemaw Kavu|TSP=19
Firemind's Foresight|RTR=32
Fires of Undeath|DKA=13
Fires of Yavimaya|INV=166
Fires of Yavimaya|PC2=82
Firescreamer|INV=30
Fireshrieker|MRD=98
Fireslinger|TMP=48
Firespout|COM=120
Firespout|SHM=120
Firestorm Hellkite|VIS=141
Firestorm Phoenix|LEG=3224
Firestorm|WTH=3351
Firewake Sliver|TSP=27
Firewild Borderpost|ARB=17
Firewing Phoenix|M13=37
First Volley|BOK=14
Fishliver Oil|9ED=16
Fishliver Oil|ARN=204
Fishliver Oil|CHR=42
Fissure|4ED=64
Fissure|DRK=68
Fist of Suns|5DN=348
Fistful of Force|LRW=13
Fists of Ironwood|COM=19
Fists of Ironwood|RAV=17
Fists of the Anvil|10E=16
Fists of the Anvil|MRD=26
Fists of the Demigod|SHM=19
Fit of Rage|6ED=28
Fit of Rage|WTH=45
Five-Alarm Fire|GTC=54
Flagstones of Trokair|TSP=577
Flailing Drake|TMP=60
Flailing Manticore|MMQ=80
Flailing Ogre|MMQ=38
Flailing Soldier|MMQ=28
Flame Burst|ODY=34
Flame Elemental|MIR=60
Flame Fusillade|RAV=35
Flame Jab|EVE=15
Flame Javelin|SHM=72
Flame Jet|UDS=32
Flame Rift|NMS=268
Flame Spirit|5ED=69
Flame Spirit|6ED=30
Flame Spirit|ICE=63
Flame Wave|9ED=28
Flame Wave|STH=48
Flame-Kin War Scout|DIS=18
Flame-Kin Zealot|RAV=26
Flameblast Dragon|ALA=56
Flameblast Dragon|M12=41
Flameborn Hellion|SOM=11
Flameborn Viron|NPH=13
Flamebreak|DST=332
Flamecore Elemental|TSP=13
Flamekin Bladewhirl|LRW=20
Flamekin Brawler|LRW=12
Flamekin Harbinger|LRW=102
Flamekin Spitfire|LRW=17
Flames of the Blood Hand|BOK=106
Flames of the Firebrand|M13=44
Flameshot|PCY=44
Flamestick Courier|ONS=36
Flametongue Kavu|COM=80
Flametongue Kavu|PLS=144
Flamewave Invoker|10E=20
Flamewave Invoker|LGN=26
Flaming Gambit|TOR=38
Flaming Sword|MMQ=30
Flanking Troops|PTK=248
Flare|5ED=48
Flare|ICE=42
Flare|MIR=42
Flaring Flame-Kin|DIS=23
Flaring Pain|JUD=28
Flash Conscription|RAV=18
Flash Counter|8ED=32
Flash Counter|LEG=84
Flash Flood|CHR=39
Flash Flood|LEG=80
Flash Foliage|DIS=18
Flash of Defiance|TOR=28
Flash of Insight|JUD=52
Flashfires|2ED=256
Flashfires|3ED=104
Flashfires|4ED=104
Flashfires|5ED=72
Flashfires|6ED=56
Flashfires|8ED=46
Flashfires|9ED=26
Flashfires|LEA=2380
Flashfires|LEB=1416
Flashfires|POR=114
Flashfreeze|10E=41
Flashfreeze|CSP=38
Flashfreeze|M11=24
Flashfreeze|M12=19
Flash|6ED=478
Flash|MIR=612
Flayed Nim|MRD=38
Flayer Husk|MBS=13
Flayer Husk|PC2=13
Flayer of the Hatebound|DKA=36
Flay|PCY=30
Fledgling Djinn|WTH=45
Fledgling Dragon|JUD=242
Fledgling Griffin|WWK=13
Fledgling Imp|ODY=28
Fledgling Mawcor|TSP=19
Fledgling Osprey|UDS=32
Fleet-Footed Monk|POR=51
Fleetfoot Panther|PLS=52
Fleeting Aven|ONS=40
Fleeting Distraction|AVR=13
Fleeting Image|7ED=84
Fleeting Image|8ED=78
Fleeting Image|9ED=39
Fleeting Image|ULG=78
Flensermite|MBS=13
Flesh Allergy|SOM=17
Flesh Reaver|USG=56
Flesh-Eater Imp|MBS=18
Fleshbag Marauder|ALA=28
Fleshbag Marauder|COM=28
Fleshformer|CFX=18
Fleshgrafter|5DN=26
Fleshwrither|FUT=23
Flickerform|RAV=47
Flickering Spirit|TSP=14
Flickering Ward|TMP=426
Flickerwisp|EVE=242
Flicker|UDS=102
Flight of Fancy|RAV=14
Flight Spellbomb|SOM=12
Flight|2ED=100
Flight|3ED=60
Flight|4ED=60
Flight|5ED=51
Flight|6ED=30
Flight|7ED=30
Flight|8ED=30
Flight|9ED=16
Flight|LEA=1000
Flight|LEB=396
Flight|M12=12
Fling|DKA=13
Fling|M11=15
Fling|M12=13
Fling|PC2=13
Fling|STH=52
Flint Golem|NMS=44
Flinthoof Boar|M13=24
Floating Shield|TOR=26
Floating-Dream Zubera|CHK=15
Flood Plain|MIR=138
Floodbringer|BOK=14
Floodchaser|MOR=13
Flooded Grove|EVE=1746
Flooded Shoreline|VIS=126
Flooded Strand|ONS=10052
Flooded Woodlands|ICE=126
Floodgate|MIR=63
Floodwater Dam|ALL=120
Flood|4ED=60
Flood|5ED=48
Flood|DRK=112
Floral Spuzzem|LEG=164
Flourishing Defenses|SHM=23
Flow of Ideas|RAV=18
Flow of Ideas|SHM=18
Flow of Maggots|ICE=114
Flowering Field|PCY=40
Flowering Lumberknot|AVR=13
Flowstone Armor|NMS=42
Flowstone Blade|STH=30
Flowstone Channeler|TSP=14
Flowstone Charger|APC=40
Flowstone Crusher|9ED=24
Flowstone Crusher|NMS=30
Flowstone Embrace|FUT=14
Flowstone Flood|EXO=42
Flowstone Giant|TMP=45
Flowstone Hellion|STH=44
Flowstone Mauler|STH=74
Flowstone Overseer|NMS=74
Flowstone Salamander|TMP=63
Flowstone Sculpture|TMP=114
Flowstone Shambler|9ED=16
Flowstone Shambler|STH=30
Flowstone Slide|10E=41
Flowstone Slide|9ED=37
Flowstone Slide|NMS=74
Flowstone Strike|NMS=30
Flowstone Surge|NMS=42
Flowstone Thopter|NMS=42
Flowstone Wall|NMS=30
Flowstone Wyvern|TMP=111
Fluctuator|USG=554
Flurry of Wings|ARB=20
Flusterstorm|COM=1282
Flux|POR=84
Flux|WTH=48
Flying Carpet|3ED=164
Flying Carpet|4ED=152
Flying Carpet|5ED=108
Flying Carpet|6ED=80
Flying Carpet|7ED=84
Flying Carpet|8ED=76
Flying Carpet|ARN=744
Flying Men|ARN=680
Flying Men|TSB=47
Fodder Cannon|8ED=42
Fodder Cannon|UDS=42
Fodder Launch|LRW=23
Fog Bank|COM=135
Fog Bank|M13=132
Fog Bank|USG=326
Fog Elemental|10E=22
Fog Elemental|6ED=30
Fog Elemental|WTH=45
Fog of Gnats|ULG=36
Fog Patch|NMS=30
Fog|2ED=156
Fog|3ED=64
Fog|4ED=64
Fog|5ED=48
Fog|6ED=32
Fog|7ED=36
Fog|LEA=1504
Fog|LEB=672
Fog|M11=14
Fog|M12=14
Fog|M13=15
Fog|MIR=45
Foil|PCY=128
Fold into Aether|5DN=36
Folk Medicine|JUD=28
Folk of An-Havva|HML=51
Folk of the Pines|ICE=45
Followed Footsteps|RAV=321
Fomori Nomad|FUT=14
Font of Mythos|CFX=317
Food Chain|MMQ=1142
Fool's Demise|TSP=24
Fool's Tome|TMP=129
Foot Soldiers|9ED=15
Foot Soldiers|POR=48
Foot Soldiers|S99=38
Footbottom Feast|COM=14
Footbottom Feast|LRW=13
Foothill Guide|ONS=26
Footsteps of the Goryo|SOK=34
Foratog|8ED=44
Foratog|MIR=60
Forbidden Alchemy|ISD=20
Forbidden Crypt|6ED=90
Forbidden Crypt|MIR=114
Forbidden Lore|ICE=117
Forbidden Orchard|CHK=541
Forbidden Ritual|VIS=120
Forbidding Watchtower|10E=44
Forbidding Watchtower|ULG=72
Forbid|EXO=184
Force Bubble|SCG=78
Force of Nature|2ED=2204
Force of Nature|3ED=188
Force of Nature|4ED=164
Force of Nature|5ED=144
Force of Nature|9ED=39
Force of Nature|LEA=51996
Force of Nature|LEB=27888
Force of Savagery|FUT=49
Force of Will|ALL=19617
Force Spike|5ED=84
Force Spike|7ED=64
Force Spike|LEG=304
Force Void|ICE=66
Forced Adaptation|GTC=14
Forced Fruition|LRW=139
Forced March|MMQ=150
Forced Retreat|PTK=98
Forced Worship|NPH=13
Forcefield|2ED=42292
Forcefield|LEB=78536
Forcemage Advocate|JUD=38
Foresee|FUT=16
Foresee|M11=13
Foreshadow|VIS=66
Foresight|ALL=42
Forest Bear|PTK=530
Forest|10E=23
Forest|2ED=160
Forest|3ED=68
Forest|4ED=108
Forest|5ED=84
Forest|6ED=46
Forest|7ED=54
Forest|8ED=36
Forest|9ED=22
Forest|ALA=15
Forest|AVR=14
Forest|CHK=16
Forest|ICE=93
Forest|INV=48
Forest|ISD=14
Forest|LEA=1312
Forest|LEB=1144
Forest|LRW=14
Forest|M12=13
Forest|M13=13
Forest|MBS=12
Forest|MIR=69
Forest|MMQ=44
Forest|MRD=32
Forest|NPH=12
Forest|ODY=36
Forest|ONS=36
Forest|PC2=16
Forest|PO2=64
Forest|POR=99
Forest|PTK=182
Forest|RAV=19
Forest|RTR=14
Forest|SHM=11
Forest|SOM=12
Forest|TMP=78
Forest|TSP=14
Forest|USG=142
Forethought Amulet|LEG=960
Forfend|MOR=13
Forge Armor|MRD=36
Forge Devil|DKA=14
Forget|5ED=135
Forget|6ED=84
Forget|HML=126
Forgotten Ancient|SCG=484
Forgotten Cave|COM=23
Forgotten Cave|ONS=38
Forgotten Harvest|PCY=76
Forgotten Lore|ICE=66
Foriysian Brigade|WTH=69
Foriysian Interceptor|TSP=14
Foriysian Totem|TSP=19
Forked Lightning|POR=330
Forked-Branch Garami|BOK=20
Fork|2ED=6764
Fork|3ED=2200
Fork|LEA=83196
Fork|LEB=50744
Form of the Dragon|9ED=66
Form of the Dragon|SCG=120
Formation|ICE=120
Forsaken City|PLS=196
Forsaken Wastes|MIR=291
Fortified Area|4ED=56
Fortified Area|LEG=200
Fortify|TSP=14
Fortitude|USG=30
Fortress Crab|ISD=13
Fortress Cyclops|GTC=21
Fortune Thief|TSP=41
Fossil Find|SHM=18
Foster|MMQ=92
Foul Familiar|ICE=45
Foul Imp|7ED=44
Foul Imp|9ED=16
Foul Imp|STH=28
Foul Presence|APC=38
Foul Spirit|PO2=62
Foundry Champion|GTC=46
Foundry Street Denizen|GTC=14
Fountain of Cho|MMQ=64
Fountain of Youth|10E=23
Fountain of Youth|5ED=96
Fountain of Youth|6ED=52
Fountain of Youth|CHR=51
Fountain of Youth|DRK=136
Fountain Watch|MMQ=598
Foxfire Oak|SHM=13
Foxfire|5ED=48
Foxfire|ICE=45
Fractured Loyalty|MRD=36
Fractured Powerstone|PC2=16
Fracturing Gust|SHM=122
Frankenstein's Monster|DRK=460
Frantic Purification|TOR=28
Frantic Salvage|MBS=12
Frantic Search|ULG=86
Frazzle|GPT=19
Freed from the Real|SOK=28
Freewind Equenaut|DIS=13
Freewind Falcon|VIS=45
Frenetic Efreet|MIR=129
Frenetic Ogre|ODY=40
Frenetic Raptor|LGN=40
Frenetic Sliver|PLC=28
Frenzied Goblin|RAV=25
Frenzied Tilling|GTC=20
Frenzied Tilling|INV=30
Frenzy Sliver|FUT=15
Fresh Meat|NPH=34
Fresh Volunteers|MMQ=28
Freyalise Supplicant|ICE=63
Freyalise's Charm|ICE=63
Freyalise's Radiance|CSP=20
Freyalise's Winds|ICE=117
Frightcrawler|ODY=28
Frightful Delusion|ISD=14
Frightshroud Courier|ONS=42
Frilled Oculus|GTC=15
Frog Tongue|TMP=42
Frogmite|MRD=76
Frogtosser Banneret|MOR=18
Frontier Guide|ZEN=19
Frontline Medic|GTC=535
Frontline Sage|CFX=13
Frontline Strategist|SCG=26
Frost Breath|M12=13
Frost Giant|LEG=184
Frost Marsh|CSP=95
Frost Ogre|BOK=14
Frost Raptor|CSP=14
Frost Titan|M11=171
Frost Titan|M12=163
Frostburn Weird|RTR=13
Frostling|BOK=13
Frostweb Spider|CSP=15
Frostwielder|CHK=13
Frozen Aether|PLC=53
Frozen Shade|2ED=108
Frozen Shade|3ED=60
Frozen Shade|4ED=60
Frozen Shade|5ED=48
Frozen Shade|LEA=756
Frozen Shade|LEB=404
Frozen Solid|CSP=15
Frozen Solid|SCG=26
Fruition|POR=114
Fuel for the Cause|MBS=12
Fugitive Druid|TMP=123
Fugitive Wizard|10E=15
Fugitive Wizard|8ED=30
Fugitive Wizard|9ED=15
Fugitive Wizard|LGN=26
Fugue|7ED=48
Fugue|EXO=42
Fulgent Distraction|SOM=12
Full Moon's Rise|ISD=25
Fulminator Mage|SHM=1417
Fumarole|ICE=63
Fume Spitter|SOM=14
Fumiko the Lowblood|BOK=105
Funeral Charm|TSB=53
Funeral Charm|VIS=99
Funeral March|5ED=48
Funeral March|HML=51
Funeral Pyre|JUD=28
Fungal Behemoth|PLC=48
Fungal Bloom|FEM=368
Fungal Reaches|COM=27
Fungal Reaches|TSP=30
Fungal Shambler|APC=76
Fungal Sprouting|M13=21
Fungus Elemental|WTH=120
Fungus Sliver|TSP=55
Fungusaur|2ED=884
Fungusaur|3ED=156
Fungusaur|4ED=148
Fungusaur|5ED=117
Fungusaur|8ED=80
Fungusaur|LEA=62000
Fungusaur|LEB=6088
Furious Assault|MMQ=30
Furious Resistance|GTC=14
Furnace Brood|EXO=28
Furnace Celebration|SOM=17
Furnace Dragon|DST=112
Furnace Of Rath|TMP=306
Furnace of Rath|10E=112
Furnace of Rath|8ED=200
Furnace of Rath|9ED=109
Furnace Scamp|NPH=13
Furnace Spirit|STH=30
Furnace Whelp|10E=26
Furnace Whelp|5DN=50
Furnace Whelp|COM=22
Furnace Whelp|M13=18
Furor of the Bitten|ISD=13
Fury Charm|PLC=16
Fury of the Horde|CSP=74
Fury Sliver|TSP=30
Furyborn Hellkite|M12=121
Furystoke Giant|SHM=49
Fusion Elemental|CFX=27
Fusion Elemental|PC2=18
Future Sight|ONS=592
Fylamarid|TMP=63
Fylgja|ICE=45
Fyndhorn Bow|ICE=66
Fyndhorn Brownie|6ED=30
Fyndhorn Brownie|ICE=45
Fyndhorn Druid|ALL=45
Fyndhorn Elder|5ED=84
Fyndhorn Elder|6ED=56
Fyndhorn Elder|7ED=56
Fyndhorn Elder|8ED=56
Fyndhorn Elder|ICE=84
Fyndhorn Elves|ICE=309
Fyndhorn Pollen|ICE=117
Gabriel Angelfire|CHR=141
Gabriel Angelfire|LEG=2208
Gaddock Teeg|LRW=505
Gaea's Anthem|PLC=186
Gaea's Avenger|ATQ=1488
Gaea's Balance|APC=40
Gaea's Blessing|TSB=110
Gaea's Blessing|WTH=267
Gaea's Bounty|USG=30
Gaea's Cradle|USG=15506
Gaea's Embrace|USG=146
Gaea's Herald|10E=77
Gaea's Herald|8ED=114
Gaea's Herald|PLS=114
Gaea's Liege|2ED=1820
Gaea's Liege|3ED=188
Gaea's Liege|4ED=160
Gaea's Liege|LEA=55120
Gaea's Liege|TSB=33
Gaea's Might|PLS=36
Gaea's Revenge|M11=134
Gaea's Skyfolk|APC=32
Gaea's Touch|DRK=184
Gainsay|PLS=42
Gale Force|CHK=19
Galepowder Mage|LRW=44
Galina's Knight|INV=32
Gallantry|ODY=38
Gallantry|TMP=66
Gallowbraid|WTH=117
Gallows at Willow Hill|AVR=33
Gallows Warden|ISD=18
Galvanic Alchemist|AVR=13
Galvanic Arc|RAV=15
Galvanic Blast|SOM=37
Galvanic Juggernaut|ISD=18
Galvanic Key|MRD=26
Galvanoth|MBS=33
Gamble|USG=1692
Game of Chaos|5ED=234
Game of Chaos|ICE=168
Game Preserve|MMQ=82
Game-Trail Changeling|MOR=13
Gamekeeper|UDS=60
Gang of Devils|AVR=19
Gang of Elk|7ED=44
Gang of Elk|ULG=44
Gangrenous Goliath|ONS=74
Gangrenous Zombies|ICE=42
Gargantuan Gorilla|ALL=120
Gargoyle Sentinel|M11=20
Garruk Relentless|ISD=1203
Garruk Wildspeaker|COM=412
Garruk Wildspeaker|LRW=437
Garruk Wildspeaker|M11=397
Garruk's Companion|M11=15
Garruk's Companion|M12=13
Garruk's Horde|M12=34
Garruk's Packleader|M11=20
Garruk's Packleader|M13=19
Garruk, Primal Hunter|M12=1494
Garruk, Primal Hunter|M13=1463
Garza Zol, Plague Queen|CSP=81
Garza's Assassin|CSP=38
Gaseous Form|4ED=60
Gaseous Form|5ED=51
Gaseous Form|6ED=30
Gaseous Form|LEG=76
Gaseous Form|TMP=45
Gate Hound|RAV=14
Gate to Phyrexia|ATQ=3196
Gate to the Aether|MRD=90
Gatecreeper Vine|RTR=14
Gatekeeper of Malakir|ZEN=72
Gateway Shade|GTC=21
Gathan Raiders|FUT=14
Gather Courage|RAV=13
Gather Specimens|ALA=40
Gather the Townsfolk|DKA=24
Gatherer of Graces|GPT=21
Gatstaf Shepherd|ISD=22
Gauntlet of Might|2ED=38352
Gauntlet of Might|LEA=109820
Gauntlet of Might|LEB=62512
Gauntlet of Power|TSP=742
Gauntlets of Chaos|5ED=129
Gauntlets of Chaos|CHR=99
Gauntlets of Chaos|LEG=856
Gavony Ironwright|DKA=19
Gavony Township|ISD=268
Gaze of Adamaro|SOK=21
Gaze of Justice|TSP=14
Gaze of Pain|ICE=45
Gaze of the Gorgon|RAV=14
Geist of Saint Traft|ISD=2772
Geist Snatch|AVR=13
Geist Trappers|AVR=13
Geist-Honored Monk|ISD=54
Geistcatcher's Rig|ISD=18
Geistflame|ISD=14
Gelectrode|GPT=108
Gelid Shackles|CSP=14
Gem of Becoming|M13=23
Gemhide Sliver|TSP=84
Gemini Engine|DST=78
Gempalm Avenger|LGN=28
Gempalm Incinerator|LGN=302
Gempalm Polluter|LGN=50
Gempalm Sorcerer|LGN=42
Gempalm Strider|LGN=36
Gemstone Array|5DN=76
Gemstone Caverns|TSP=94
Gemstone Mine|TSB=380
Gemstone Mine|WTH=1125
General Jarkeld|ICE=126
General's Kabuto|CHK=187
General's Regalia|MMQ=82
Genesis Chamber|DST=188
Genesis Wave|SOM=176
Genesis|JUD=2488
Genju of the Cedars|BOK=25
Genju of the Falls|BOK=24
Genju of the Fens|BOK=23
Genju of the Fields|BOK=25
Genju of the Realm|BOK=115
Genju of the Spires|BOK=47
Geosurge|NPH=25
Geothermal Crevice|INV=38
Geralf's Messenger|DKA=629
Geralf's Mindcrusher|DKA=36
Germ Token|MBS=12
Gerrard Capashen|APC=106
Gerrard's Battle Cry|TMP=138
Gerrard's Command|PLS=30
Gerrard's Irregulars|MMQ=28
Gerrard's Verdict|APC=102
Gerrard's Wisdom|7ED=48
Gerrard's Wisdom|S99=160
Gerrard's Wisdom|WTH=69
Geth's Grimoire|DST=78
Geth's Verdict|NPH=32
Geth, Lord of the Vault|SOM=224
Geyser Glider|ZEN=18
Ghalma's Warden|SOM=12
Ghastlord of Fugue|SHM=331
Ghastly Demise|ODY=50
Ghastly Discovery|SHM=13
Ghastly Remains|LGN=78
Ghave, Guru of Spores|COM=161
Ghazban Ogre|5ED=57
Ghazban Ogre|ARN=340
Ghazban Ogre|CHR=9
Ghitu Encampment|10E=57
Ghitu Encampment|ULG=78
Ghitu Fire-Eater|7ED=42
Ghitu Fire-Eater|ULG=42
Ghitu Firebreathing|TSP=13
Ghitu Fire|INV=90
Ghitu Slinger|ULG=32
Ghitu War Cry|ULG=44
Ghor-Clan Bloodscale|GPT=18
Ghor-Clan Rampager|GTC=46
Ghor-Clan Savage|GPT=12
Ghost Council of Orzhova|GPT=110
Ghost Hounds|HML=69
Ghost Quarter|DIS=120
Ghost Quarter|ISD=35
Ghost Ship|4ED=84
Ghost Ship|DRK=60
Ghost Ship|TSB=21
Ghost Tactician|PLC=14
Ghost Town|TMP=108
Ghost Warden|10E=16
Ghost Warden|GPT=12
Ghost-Lit Nourisher|SOK=20
Ghost-Lit Raider|SOK=21
Ghost-Lit Redeemer|SOK=28
Ghost-Lit Stalker|SOK=22
Ghost-Lit Warder|SOK=22
Ghostfire|FUT=14
Ghostflame Sliver|TSP=30
Ghostform|AVR=13
Ghosthelm Courier|ONS=38
Ghostly Changeling|LRW=18
Ghostly Flame|ICE=132
Ghostly Flicker|AVR=14
Ghostly Possession|ISD=13
Ghostly Prison|CHK=325
Ghostly Prison|COM=320
Ghostly Prison|PC2=322
Ghostly Touch|AVR=19
Ghostly Visit|PTK=106
Ghostly Wings|TOR=28
Ghosts of the Damned|LEG=72
Ghosts of the Innocent|RAV=36
Ghostway|GPT=233
Ghoul's Feast|MMQ=40
Ghoulcaller's Bell|ISD=13
Ghoulcaller's Chant|ISD=14
Ghoulflesh|AVR=13
Ghoulraiser|ISD=13
Ghoultree|DKA=79
Giant Adephage|GTC=235
Giant Albatross|HML=48
Giant Ambush Beetle|ARB=18
Giant Badger|8ED=30
Giant Badger|PRO=575
Giant Caterpillar|MMQ=30
Giant Caterpillar|VIS=45
Giant Cockroach|7ED=30
Giant Cockroach|8ED=32
Giant Cockroach|9ED=16
Giant Cockroach|ULG=32
Giant Crab|TMP=45
Giant Dustwasp|PLC=13
Giant Growth|10E=17
Giant Growth|2ED=164
Giant Growth|3ED=64
Giant Growth|4ED=68
Giant Growth|5ED=63
Giant Growth|6ED=32
Giant Growth|7ED=36
Giant Growth|8ED=32
Giant Growth|9ED=17
Giant Growth|ICE=51
Giant Growth|LEA=1668
Giant Growth|LEB=1160
Giant Growth|M11=14
Giant Growth|RTR=14
Giant Harbinger|LRW=18
Giant Mantis|MIR=42
Giant Octopus|7ED=30
Giant Octopus|8ED=34
Giant Octopus|9ED=20
Giant Octopus|POR=48
Giant Octopus|S00=138
Giant Octopus|S99=40
Giant Oyster|HML=72
Giant Oyster|TSB=21
Giant Scorpion|M13=14
Giant Scorpion|ZEN=13
Giant Shark|DRK=68
Giant Slug|CHR=39
Giant Slug|LEG=76
Giant Solifuge|GPT=77
Giant Spider|10E=16
Giant Spider|2ED=96
Giant Spider|3ED=64
Giant Spider|4ED=64
Giant Spider|5ED=51
Giant Spider|6ED=30
Giant Spider|7ED=30
Giant Spider|8ED=32
Giant Spider|9ED=17
Giant Spider|LEA=768
Giant Spider|LEB=392
Giant Spider|M11=14
Giant Spider|M12=12
Giant Spider|POR=48
Giant Strength|4ED=64
Giant Strength|5ED=51
Giant Strength|6ED=28
Giant Strength|LEG=72
Giant Strength|TMP=45
Giant Tortoise|4ED=60
Giant Tortoise|ARN=164
Giant Trap Door Spider|ICE=66
Giant Turtle|LEG=76
Giant Warthog|JUD=28
Giant's Ire|LRW=12
Giantbaiting|SHM=14
Gibbering Descent|FUT=42
Gibbering Hyenas|MIR=42
Gibbering Kami|CHK=14
Gideon Jura|M12=543
Gideon's Avenger|M12=84
Gideon's Lawkeeper|M12=15
Gideon, Champion of Justice|GTC=1561
Gift of Estates|9ED=170
Gift of Estates|POR=1365
Gift of Granite|FUT=14
Gift of Orzhova|GTC=25
Gift of the Deity|EVE=13
Gift of the Gargantuan|ALA=14
Gift of the Woods|ALL=42
Gifts Ungiven|CHK=1061
Gigadrowse|GPT=18
Gigantiform|ZEN=35
Gigapede|ONS=120
Gilded Drake|USG=5244
Gilded Light|SCG=52
Gilded Lotus|M13=336
Gilded Lotus|MRD=1074
Gilder Bairn|EVE=143
Gilt-Leaf Ambush|LRW=14
Gilt-Leaf Archdruid|MOR=103
Gilt-Leaf Palace|LRW=193
Gilt-Leaf Seer|LRW=13
Giltspire Avenger|CFX=76
Gisela, Blade of Goldnight|AVR=762
Gitaxian Probe|NPH=55
Glacial Chasm|ICE=165
Glacial Crevasses|ICE=120
Glacial Fortress|M11=356
Glacial Fortress|M12=341
Glacial Fortress|M13=355
Glacial Plating|CSP=19
Glacial Ray|CHK=15
Glacial Wall|5ED=75
Glacial Wall|6ED=56
Glacial Wall|7ED=52
Glacial Wall|ICE=66
Glaciers|ICE=126
Glade Gnarr|APC=28
Gladecover Scout|M12=15
Glamer Spinners|SHM=18
Glamerdye|EVE=39
Glare of Subdual|RAV=99
Glarecaster|ONS=80
Glarewielder|LRW=17
Glaring Spotlight|GTC=175
Glass Asp|TSP=14
Glass Golem|RAV=18
Glassdust Hulk|ARB=14
Glasses of Urza|2ED=228
Glasses of Urza|3ED=80
Glasses of Urza|4ED=88
Glasses of Urza|5ED=72
Glasses of Urza|6ED=60
Glasses of Urza|LEA=2972
Glasses of Urza|LEB=1168
Glaze Fiend|ALA=14
Gleam of Resistance|CFX=14
Gleancrawler|RAV=85
Gleeful Sabotage|SHM=15
Glen Elendra Archmage|EVE=1324
Glen Elendra Liege|PC2=196
Glen Elendra Liege|SHM=241
Glen Elendra Pranksters|LRW=18
Gliding Licid|STH=40
Glimmerdust Nap|LRW=13
Glimmering Angel|INV=30
Glimmerpoint Stag|SOM=17
Glimmerpost|SOM=17
Glimmervoid|MRD=3040
Glimpse of Nature|CHK=1854
Glimpse the Unthinkable|RAV=1618
Glint Hawk Idol|SOM=13
Glint Hawk|SOM=14
Glint-Eye Nephilim|GPT=38
Glintwing Invoker|LGN=26
Glissa Sunseeker|MRD=136
Glissa's Courier|MBS=12
Glissa's Scorn|NPH=13
Glissa, the Traitor|MBS=157
Glistener Elf|NPH=16
Glistening Oil|NPH=34
Glitterfang|SOK=15
Glittering Lion|PCY=44
Glittering Lynx|PCY=30
Glittering Wish|FUT=109
Global Ruin|INV=82
Gloom Surgeon|AVR=33
Gloomdrifter|TOR=40
Gloomlance|SHM=13
Gloomwidow's Feast|SHM=14
Gloomwidow|AVR=19
Gloomwidow|SHM=18
Gloom|2ED=220
Gloom|3ED=92
Gloom|4ED=104
Gloom|5ED=108
Gloom|LEA=3016
Gloom|LEB=1416
Glorious Anthem|10E=208
Glorious Anthem|7ED=326
Glorious Anthem|8ED=328
Glorious Anthem|9ED=171
Glorious Anthem|USG=440
Glorious Charge|M13=14
Glory of Warfare|ARB=79
Glory Seeker|8ED=30
Glory Seeker|9ED=16
Glory Seeker|ONS=26
Gloryscale Viashino|ARB=19
Glory|JUD=280
Glowering Rogon|LGN=28
Glowing Anemone|MMQ=46
Glowrider|LGN=80
Gluttonous Slime|CFX=19
Gluttonous Slime|PC2=21
Gluttonous Zombie|8ED=42
Gluttonous Zombie|9ED=22
Gluttonous Zombie|ONS=38
Glyph of Delusion|LEG=76
Glyph of Destruction|LEG=76
Glyph of Doom|LEG=72
Glyph of Life|LEG=68
Glyph of Reincarnation|LEG=72
Gnarled Effigy|SHM=19
Gnarled Mass|BOK=14
Gnarlid Pack|WWK=13
Gnat Alley Creeper|DIS=19
Gnat Miser|SOK=18
Gnathosaur|MBS=12
Gnaw to the Bone|ISD=13
Go for the Throat|MBS=124
Goatnapper|LRW=18
Gobbling Ooze|RTR=18
Gobhobbler Rats|DIS=13
Goblin Archaeologist|DST=38
Goblin Arsonist|M12=12
Goblin Arsonist|M13=15
